,City,Country,Latitude,Longitude,Max Temp.,Humidity,Wind Speed,Cloudiness,Date,Hemisphere
0,Hilo,US,19.73,-155.09,78.8,65,4.7,90,1586395577,Northern Hemisphere
1,Dukat,RU,62.55,155.55,19.38,88,5.59,86,1586395728,Northern Hemisphere
2,Saint-Pierre,RE,-21.34,55.48,77.0,73,8.05,0,1586395729,Southern Hemisphere
3,Albany,US,42.6,-73.97,53.6,54,14.99,75,1586395731,Northern Hemisphere
4,Rikitea,PF,-23.12,-134.97,76.6,80,9.86,90,1586395732,Southern Hemisphere
5,Bluff,NZ,-46.6,168.33,53.01,90,14.0,100,1586395733,Southern Hemisphere
6,Hong Kong,HK,22.29,114.16,73.99,46,8.05,66,1586395734,Northern Hemisphere
7,Norman Wells,CA,65.28,-126.83,30.2,50,16.11,90,1586395735,Northern Hemisphere
8,Acapulco de Juárez,MX,16.86,-99.89,80.6,83,6.93,20,1586395736,Northern Hemisphere
9,Camacha,PT,33.08,-16.33,68.0,93,11.41,75,1586395737,Northern Hemisphere
10,Airai,TL,-8.93,125.41,67.35,61,0.45,97,1586395738,Southern Hemisphere
11,Fairbanks,US,64.84,-147.72,32.0,46,6.93,1,1586395526,Northern Hemisphere
12,Puerto Ayora,EC,-0.74,-90.35,82.4,78,11.41,20,1586395740,Southern Hemisphere
13,Jalingo,NG,8.88,11.37,86.56,52,5.5,92,1586395742,Northern Hemisphere
14,Lagoa,PT,39.05,-27.98,61.0,82,12.97,0,1586395743,Northern Hemisphere
15,Mahon,ES,39.89,4.27,50.0,81,2.68,0,1586395745,Northern Hemisphere
16,Vostok,RU,46.49,135.88,31.91,61,2.93,97,1586395746,Northern Hemisphere
17,Guskhara,IN,23.5,87.75,77.45,31,4.5,0,1586395748,Northern Hemisphere
18,Kletskaya,RU,49.31,43.06,44.01,38,14.7,86,1586395749,Northern Hemisphere
19,Cayenne,GF,4.93,-52.33,82.4,74,8.05,90,1586395750,Northern Hemisphere
20,Bilibino,RU,68.05,166.44,12.02,88,5.08,98,1586395751,Northern Hemisphere
21,Aden,YE,12.78,45.04,80.44,66,16.04,0,1586395497,Northern Hemisphere
22,Tuktoyaktuk,CA,69.45,-133.04,10.4,78,11.41,20,1586395753,Northern Hemisphere
23,Busselton,AU,-33.65,115.33,73.99,65,4.0,27,1586395754,Southern Hemisphere
24,Labytnangi,RU,66.66,66.42,9.91,90,16.13,100,1586395756,Northern Hemisphere
25,George Town,MY,5.41,100.34,84.2,88,3.36,20,1586395757,Northern Hemisphere
26,Bengkulu,ID,-3.8,102.27,78.3,78,5.03,89,1586395645,Southern Hemisphere
27,Jamestown,US,42.1,-79.24,51.01,75,3.36,1,1586395589,Northern Hemisphere
28,Punta Arenas,CL,-53.15,-70.92,55.4,62,9.17,20,1586395702,Southern Hemisphere
29,Tuatapere,NZ,-46.13,167.68,53.01,90,14.0,100,1586395762,Southern Hemisphere
30,Saint George,US,37.1,-113.58,55.4,76,9.17,90,1586395763,Northern Hemisphere
31,Copiapó,CL,-27.37,-70.33,64.4,72,1.12,0,1586395764,Southern Hemisphere
32,Atuona,PF,-9.8,-139.03,82.67,79,13.53,11,1586395766,Southern Hemisphere
33,Ballina,AU,-28.87,153.57,77.0,69,14.99,90,1586395767,Southern Hemisphere
34,Umm Kaddadah,SD,13.6,26.69,82.51,13,18.63,12,1586395504,Northern Hemisphere
35,Seoul,KR,37.57,126.98,51.8,39,8.75,1,1586395536,Northern Hemisphere
36,Ushuaia,AR,-54.8,-68.3,68.0,28,23.04,6,1586395771,Southern Hemisphere
37,Carnarvon,AU,-24.87,113.63,82.4,48,9.17,70,1586395772,Southern Hemisphere
38,Nome,US,64.5,-165.41,10.4,85,8.05,75,1586395773,Northern Hemisphere
39,Vaini,TO,-21.2,-175.2,80.6,88,23.04,75,1586395774,Southern Hemisphere
40,Boquira,BR,-12.82,-42.73,73.69,72,1.41,87,1586395775,Southern Hemisphere
41,Mossamedes,AO,-15.2,12.15,75.49,51,8.03,0,1586395776,Southern Hemisphere
42,Tumbagaan,PH,5.37,120.31,81.77,68,9.98,32,1586395777,Northern Hemisphere
43,Tucupita,VE,9.06,-62.05,80.26,63,7.56,75,1586395778,Northern Hemisphere
44,Yellowknife,CA,62.46,-114.35,26.6,38,6.93,40,1586395667,Northern Hemisphere
45,Cabo San Lucas,MX,22.89,-109.91,80.6,64,27.51,90,1586395780,Northern Hemisphere
46,Port Alfred,ZA,-33.59,26.89,63.32,70,17.09,83,1586395781,Southern Hemisphere
47,Saint Paul Harbor,US,57.79,-152.41,35.6,55,24.16,1,1586395782,Northern Hemisphere
48,Upernavik,GL,72.79,-56.15,11.62,84,4.38,0,1586395783,Northern Hemisphere
49,Talnakh,RU,69.49,88.4,26.6,79,24.61,66,1586395785,Northern Hemisphere
50,Adrar,MR,20.5,-10.07,79.92,14,9.55,0,1586395786,Northern Hemisphere
51,Khandyga,RU,62.67,135.6,30.11,97,2.77,100,1586395787,Northern Hemisphere
52,Sitka,US,57.05,-135.33,41.0,77,12.75,90,1586395788,Northern Hemisphere
53,Hobart,AU,-42.88,147.33,61.0,62,9.17,5,1586395626,Southern Hemisphere
54,Bulalacao,PH,12.33,121.34,82.06,72,8.63,54,1586395790,Northern Hemisphere
55,Torbay,CA,47.67,-52.73,28.0,73,13.87,20,1586395791,Northern Hemisphere
56,Valentín Gómez Farías,MX,28.22,-106.58,77.0,25,8.01,80,1586395589,Northern Hemisphere
57,Ōfunato,JP,39.07,141.72,46.4,59,5.82,75,1586395793,Northern Hemisphere
58,Porto-Novo,BJ,6.5,2.6,84.2,79,11.41,40,1586395794,Northern Hemisphere
59,Oussouye,SN,12.48,-16.55,77.0,88,4.7,0,1586395795,Northern Hemisphere
60,Acajutla,SV,13.59,-89.83,79.0,82,1.99,5,1586395775,Northern Hemisphere
61,Sørland,NO,67.67,12.69,36.16,85,17.13,33,1586395797,Northern Hemisphere
62,Baruun-Urt,MN,46.68,113.28,30.06,52,4.18,23,1586395798,Northern Hemisphere
63,Dikson,RU,73.51,80.55,32.32,96,25.55,100,1586395799,Northern Hemisphere
64,Cape Town,ZA,-33.93,18.42,57.99,81,3.36,2,1586395585,Southern Hemisphere
65,Kapaa,US,22.08,-159.32,78.8,74,11.41,75,1586395685,Northern Hemisphere
66,Padang,ID,-0.95,100.35,84.58,62,1.57,88,1586395803,Southern Hemisphere
67,Anadyr,RU,64.75,177.48,10.4,78,4.47,20,1586395804,Northern Hemisphere
68,Sibolga,ID,1.74,98.78,77.25,79,3.31,98,1586395653,Northern Hemisphere
69,Itaituba,BR,-4.28,-55.98,73.38,94,0.4,85,1586395806,Southern Hemisphere
70,Shubarshi,KZ,48.59,57.19,37.44,70,16.17,100,1586395807,Northern Hemisphere
71,Faanui,PF,-16.48,-151.75,83.01,76,12.41,99,1586395808,Southern Hemisphere
72,Lebu,CL,-37.62,-73.65,52.32,89,3.56,18,1586395810,Southern Hemisphere
73,Fare,PF,-16.7,-151.02,84.24,77,13.02,93,1586395811,Southern Hemisphere
74,Dicabisagan,PH,17.08,122.42,81.95,70,6.08,68,1586395812,Northern Hemisphere
75,East London,ZA,-33.02,27.91,64.49,79,14.61,98,1586395813,Southern Hemisphere
76,Saint-Philippe,RE,-21.36,55.77,77.0,73,8.05,2,1586395814,Southern Hemisphere
77,Benguela,AO,-12.58,13.41,76.23,82,2.48,0,1586395815,Southern Hemisphere
78,Kaitangata,NZ,-46.28,169.85,60.01,60,3.0,100,1586395816,Southern Hemisphere
79,Kantunilkín,MX,21.09,-87.45,80.6,78,8.05,5,1586395817,Northern Hemisphere
80,Fes,MA,34.04,-5.0,60.8,93,6.93,40,1586395818,Northern Hemisphere
81,Chupa,RU,66.27,33.05,30.94,95,10.22,78,1586395819,Northern Hemisphere
82,Zhigansk,RU,66.77,123.37,32.94,95,12.82,100,1586395821,Northern Hemisphere
83,Serebryanyy Bor,RU,56.8,124.8,32.4,68,2.13,0,1586395822,Northern Hemisphere
84,Leningradskiy,RU,69.38,178.42,9.73,91,10.4,100,1586395823,Northern Hemisphere
85,Mataura,NZ,-46.19,168.86,53.01,90,17.0,100,1586395824,Southern Hemisphere
86,Port Elizabeth,ZA,-33.92,25.57,62.6,82,10.29,98,1586395805,Southern Hemisphere
87,Ulladulla,AU,-35.35,150.47,66.99,93,8.05,75,1586395826,Southern Hemisphere
88,Ponnāni,IN,10.77,75.93,84.09,74,3.2,29,1586395827,Northern Hemisphere
89,Tura,IN,25.52,90.22,84.58,39,6.15,22,1586395828,Northern Hemisphere
90,Gorom-Gorom,BF,14.44,-0.24,81.03,14,2.08,99,1586395829,Northern Hemisphere
91,Loandjili,CG,-4.76,11.86,78.8,87,3.71,100,1586395830,Southern Hemisphere
92,Kavieng,PG,-2.57,150.8,84.54,72,6.76,27,1586395831,Southern Hemisphere
93,Maridi,SS,4.92,29.47,67.95,78,4.32,99,1586395832,Northern Hemisphere
94,Provideniya,RU,64.38,-173.3,12.2,72,8.95,89,1586395834,Northern Hemisphere
95,Serowe,BW,-22.38,26.72,62.6,57,17.49,100,1586395835,Southern Hemisphere
96,Vorobyevka,RU,50.65,40.92,42.21,90,7.29,9,1586395836,Northern Hemisphere
97,Hithadhoo,MV,-0.6,73.08,84.69,69,10.78,51,1586395837,Southern Hemisphere
98,Saskylakh,RU,71.92,114.08,32.11,97,13.78,100,1586395838,Northern Hemisphere
99,Arrondissement de Perpignan,FR,42.75,2.75,52.0,87,3.36,26,1586395679,Northern Hemisphere
100,Narsaq,GL,60.92,-46.05,41.0,27,11.41,100,1586395840,Northern Hemisphere
101,Mehrān,IR,33.12,46.16,60.8,72,4.7,90,1586395841,Northern Hemisphere
102,Kununurra,AU,-15.77,128.73,89.6,24,11.41,14,1586395843,Southern Hemisphere
103,Cairns,AU,-16.92,145.77,84.2,62,19.46,75,1586395844,Southern Hemisphere
104,Pemba,MZ,-12.97,40.52,77.0,83,5.82,20,1586395771,Southern Hemisphere
105,Hamilton,US,39.18,-84.53,72.0,63,12.21,1,1586395810,Northern Hemisphere
106,Yulara,AU,-25.24,130.99,77.0,31,16.11,5,1586395847,Southern Hemisphere
107,Nueva Loja,EC,0.08,-76.88,71.02,85,1.43,98,1586395849,Northern Hemisphere
108,Port Augusta,AU,-32.5,137.77,69.01,52,3.36,0,1586395850,Southern Hemisphere
109,Deputatsky,RU,69.3,139.9,12.65,89,3.85,50,1586395851,Northern Hemisphere
110,Rocha,UY,-34.48,-54.33,55.33,88,7.07,40,1586395852,Southern Hemisphere
111,Steinbach am Taunus,DE,50.17,8.57,60.01,75,3.36,16,1586395853,Northern Hemisphere
112,Ruteng,ID,-8.61,120.47,74.89,59,2.37,67,1586395854,Southern Hemisphere
113,Qaanaaq,GL,77.48,-69.36,9.34,83,8.75,98,1586395855,Northern Hemisphere
114,Tasiilaq,GL,65.61,-37.64,26.6,68,4.7,2,1586395856,Northern Hemisphere
115,Jacareacanga,BR,-6.22,-57.75,75.36,94,1.54,87,1586395857,Southern Hemisphere
116,Chokurdakh,RU,70.63,147.92,-1.43,92,7.74,46,1586395858,Northern Hemisphere
117,Teya,RU,60.38,92.63,34.84,76,11.65,99,1586395859,Northern Hemisphere
118,Mayskiy,RU,47.69,40.1,37.4,55,2.24,0,1586395860,Northern Hemisphere
119,Bredasdorp,ZA,-34.53,20.04,59.0,87,2.24,2,1586395861,Southern Hemisphere
120,Hermanus,ZA,-34.42,19.23,59.0,75,5.01,0,1586395863,Southern Hemisphere
121,Coolum Beach,AU,-26.53,153.1,77.0,79,1.01,60,1586395864,Southern Hemisphere
122,Terra Santa,BR,-2.1,-56.49,76.53,93,3.49,100,1586395865,Southern Hemisphere
123,Bethel,US,41.37,-73.41,51.01,81,2.01,1,1586395866,Northern Hemisphere
124,Mar del Plata,AR,-38.0,-57.56,53.01,93,3.36,40,1586395867,Southern Hemisphere
125,Umluj,SA,25.02,37.27,71.65,47,10.4,0,1586395868,Northern Hemisphere
126,Alofi,NU,-19.06,-169.92,83.17,83,25.97,98,1586395869,Southern Hemisphere
127,Gigmoto,PH,13.78,124.39,81.55,66,5.82,27,1586395870,Northern Hemisphere
128,Zhezkazgan,KZ,47.8,67.71,34.47,69,12.88,13,1586395871,Northern Hemisphere
129,Barrow,US,71.29,-156.79,1.4,70,8.05,40,1586395801,Northern Hemisphere
130,Vila Velha,BR,-20.33,-40.29,73.4,78,4.7,90,1586395873,Southern Hemisphere
131,Ballater,GB,57.05,-3.04,45.0,86,5.82,75,1586395874,Northern Hemisphere
132,Bonavista,CA,48.65,-53.11,27.0,80,1.99,90,1586395876,Northern Hemisphere
133,South Sioux City,US,42.47,-96.41,50.0,37,16.11,1,1586395877,Northern Hemisphere
134,Namatanai,PG,-3.67,152.43,85.53,69,3.44,9,1586395878,Southern Hemisphere
135,Goderich,CA,43.75,-81.72,54.0,78,7.25,100,1586395879,Northern Hemisphere
136,Camabatela,AO,-8.19,15.38,64.42,71,2.24,34,1586395880,Southern Hemisphere
137,Buala,SB,-8.14,159.59,84.87,72,6.85,55,1586395881,Southern Hemisphere
138,Arlit,NE,18.74,7.39,82.96,13,13.67,100,1586395882,Northern Hemisphere
139,Itoigawa,JP,37.03,137.85,47.71,60,4.72,64,1586395884,Northern Hemisphere
140,Nador,MA,35.17,-2.93,60.8,87,8.05,75,1586395888,Northern Hemisphere
141,Richards Bay,ZA,-28.78,32.04,66.15,81,2.1,100,1586395889,Southern Hemisphere
142,Thompson,CA,55.74,-97.86,24.8,73,9.17,75,1586395890,Northern Hemisphere
143,São Gabriel da Cachoeira,BR,-0.13,-67.09,74.53,96,2.33,100,1586395894,Southern Hemisphere
144,Dali,CN,25.7,100.18,68.76,18,6.64,3,1586395895,Northern Hemisphere
145,Hofn,IS,64.25,-15.21,30.63,93,1.7,93,1586395897,Northern Hemisphere
146,Rio Grande,BR,-32.03,-52.1,62.94,76,17.96,25,1586395743,Southern Hemisphere
147,Belém de São Francisco,BR,-8.75,-38.97,77.32,67,11.25,45,1586395901,Southern Hemisphere
148,Avarua,CK,-21.21,-159.78,86.0,84,18.34,75,1586395647,Southern Hemisphere
149,College,US,64.86,-147.8,33.8,30,6.93,75,1586395906,Northern Hemisphere
150,Beyneu,KZ,45.32,55.2,40.06,69,7.54,0,1586395907,Northern Hemisphere
151,Ati,TD,13.22,18.34,80.74,14,10.8,33,1586395908,Northern Hemisphere
152,Boyolangu,ID,-8.12,111.89,85.48,64,2.19,0,1586395910,Southern Hemisphere
153,Salalah,OM,17.02,54.09,78.8,65,3.36,20,1586395911,Northern Hemisphere
154,Vardø,NO,70.37,31.11,29.52,96,37.67,100,1586395913,Northern Hemisphere
155,Ribeira Grande,PT,38.52,-28.7,60.06,80,5.21,17,1586395914,Northern Hemisphere
156,Olenino,RU,56.21,33.49,35.8,82,6.78,32,1586395915,Northern Hemisphere
157,Tiksi,RU,71.69,128.87,21.87,96,5.59,86,1586395917,Northern Hemisphere
158,Verkhotur'ye,RU,58.86,60.81,26.78,93,7.81,35,1586395918,Northern Hemisphere
159,Gaeta,IT,41.22,13.56,55.99,93,4.7,3,1586395920,Northern Hemisphere
160,Constitución,CL,-35.33,-72.42,53.31,88,1.57,89,1586395922,Southern Hemisphere
161,Campbell River,CA,50.02,-125.24,60.8,66,0.83,40,1586395861,Northern Hemisphere
162,The Valley,AI,18.22,-63.06,80.6,78,5.82,20,1586395924,Northern Hemisphere
163,Helena,US,46.59,-112.04,59.0,22,10.29,1,1586395655,Northern Hemisphere
164,Arrondissement de Montauban,FR,44.08,1.5,54.0,57,5.82,0,1586395928,Northern Hemisphere
165,Vanavara,RU,60.34,102.28,43.41,68,7.45,81,1586395929,Northern Hemisphere
166,Arraial do Cabo,BR,-22.97,-42.03,73.35,74,16.75,62,1586395930,Southern Hemisphere
167,Markova,UA,48.68,24.41,43.38,61,3.47,0,1586395931,Northern Hemisphere
168,Devils Lake,US,48.11,-98.87,33.8,69,13.87,75,1586395730,Northern Hemisphere
169,Kunya,NG,12.22,8.53,84.2,48,8.05,20,1586395933,Northern Hemisphere
170,Saint Anthony,US,45.02,-93.22,46.4,45,16.11,75,1586395934,Northern Hemisphere
171,General Roca,AR,-39.03,-67.58,66.2,48,2.24,0,1586395935,Southern Hemisphere
172,Butaritari,KI,3.07,172.79,84.43,76,13.11,57,1586395936,Northern Hemisphere
173,Ponta do Sol,PT,32.67,-17.1,68.0,82,9.95,40,1586395937,Northern Hemisphere
174,Lanxi,CN,29.22,119.48,72.79,39,1.83,0,1586395938,Northern Hemisphere
175,Changji,CN,44.02,87.32,53.6,46,2.24,0,1586395939,Northern Hemisphere
176,Djibouti,DJ,11.5,42.5,80.6,78,3.36,1,1586395942,Northern Hemisphere
177,Karratha,AU,-20.74,116.85,86.94,45,3.09,65,1586395943,Southern Hemisphere
178,Atar,MR,20.52,-13.05,76.08,16,6.06,0,1586395944,Northern Hemisphere
179,Geraldton,AU,-28.77,114.6,80.01,44,4.7,26,1586395945,Southern Hemisphere
180,Daru,PG,-9.08,143.21,84.11,70,7.74,91,1586395947,Southern Hemisphere
181,Katsuura,JP,35.13,140.3,64.99,62,6.93,20,1586395948,Northern Hemisphere
182,Lakes Entrance,AU,-37.88,147.98,66.0,67,15.41,0,1586395949,Southern Hemisphere
183,Vestmannaeyjar,IS,63.44,-20.27,36.84,77,3.29,100,1586395951,Northern Hemisphere
184,Tadine,NC,-21.55,167.88,79.23,64,15.82,5,1586395952,Southern Hemisphere
185,San Quintín,MX,30.48,-115.95,57.85,62,8.63,2,1586395953,Northern Hemisphere
186,Altay,CN,47.87,88.12,54.43,30,1.99,0,1586395954,Northern Hemisphere
187,Kaeo,NZ,-35.1,173.78,68.0,73,21.0,7,1586395958,Southern Hemisphere
188,Sucre,BO,-19.03,-65.26,53.49,35,3.67,98,1586395959,Southern Hemisphere
189,San Giovanni in Fiore,IT,39.26,16.7,45.0,100,4.7,20,1586395960,Northern Hemisphere
190,Bhatkal,IN,13.97,74.57,81.57,60,0.89,1,1586395961,Northern Hemisphere
191,Half Moon Bay,US,37.46,-122.43,62.6,87,6.93,90,1586395962,Northern Hemisphere
192,Severo-Kuril'sk,RU,50.68,156.12,31.8,97,7.36,100,1586395964,Northern Hemisphere
193,Humaitá,BR,-7.51,-63.02,75.36,95,2.84,100,1586395966,Southern Hemisphere
194,Midland,US,32.0,-102.08,81.0,21,6.93,1,1586395967,Northern Hemisphere
195,Novikovo,RU,51.15,37.89,40.66,86,6.69,0,1586395968,Northern Hemisphere
196,Qui Nhon,VN,13.77,109.23,83.89,67,10.0,75,1586395969,Northern Hemisphere
197,Margate,GB,51.38,1.39,52.0,93,2.24,0,1586395808,Northern Hemisphere
198,Hlobyne,UA,49.39,33.26,42.87,83,6.04,0,1586395972,Northern Hemisphere
199,Dawei,MM,14.08,98.2,87.21,46,0.96,98,1586395975,Northern Hemisphere
200,Katobu,ID,-4.94,122.53,86.74,67,2.42,23,1586395976,Southern Hemisphere
201,Sola,VU,-13.88,167.55,87.8,74,2.62,40,1586395977,Southern Hemisphere
202,Chaumont,FR,48.12,5.13,48.2,76,2.24,0,1586395979,Northern Hemisphere
203,Bahir Dar,ET,11.59,37.39,71.89,29,4.21,56,1586395980,Northern Hemisphere
204,Gonbad-e Kāvūs,IR,37.25,55.17,33.8,64,2.24,57,1586395981,Northern Hemisphere
205,Kapit,MY,2.02,112.93,88.39,64,0.98,74,1586395983,Northern Hemisphere
206,Chulym,RU,55.1,80.96,31.98,86,12.08,100,1586395984,Northern Hemisphere
207,Muros,ES,42.78,-9.06,61.0,93,4.16,100,1586395986,Northern Hemisphere
208,Coquimbo,CL,-29.95,-71.34,62.6,77,1.12,90,1586395987,Southern Hemisphere
209,Lorengau,PG,-2.02,147.27,84.06,76,7.52,10,1586395989,Southern Hemisphere
210,Zyryanka,RU,65.75,150.85,13.73,89,7.54,56,1586395991,Northern Hemisphere
211,Waipawa,NZ,-41.41,175.52,60.01,62,21.92,17,1586395992,Southern Hemisphere
212,Palana,RU,59.12,159.97,20.68,89,6.04,85,1586395993,Northern Hemisphere
213,Ambilobe,MG,-13.2,49.05,70.29,82,3.89,7,1586395995,Southern Hemisphere
214,Mizdah,LY,31.45,12.98,48.56,58,3.67,0,1586395996,Northern Hemisphere
215,Mahébourg,MU,-20.41,57.7,77.0,88,5.82,40,1586395997,Southern Hemisphere
216,Baft,IR,29.23,56.61,55.33,29,2.8,31,1586395998,Northern Hemisphere
217,Nikolskoye,RU,59.7,30.79,42.8,68,11.18,100,1586395999,Northern Hemisphere
218,Touros,BR,-5.2,-35.46,78.8,94,3.36,20,1586396007,Southern Hemisphere
219,Khatanga,RU,71.97,102.5,35.65,98,12.59,100,1586396008,Northern Hemisphere
220,Bambous Virieux,MU,-20.34,57.76,77.0,88,5.82,40,1586396009,Southern Hemisphere
221,Rincon,US,32.3,-81.24,78.8,74,10.29,90,1586396011,Northern Hemisphere
222,New Norfolk,AU,-42.78,147.06,63.0,62,9.17,0,1586396012,Southern Hemisphere
223,Canary Islands,ES,28.0,-15.5,68.0,77,21.92,20,1586396013,Northern Hemisphere
224,Port Blair,IN,11.67,92.75,81.61,76,3.78,100,1586396014,Northern Hemisphere
225,La Paz,BO,-16.5,-68.15,44.6,87,10.29,20,1586396015,Southern Hemisphere
226,Raton,US,36.9,-104.44,68.0,12,9.17,1,1586396016,Northern Hemisphere
227,Salinópolis,BR,-0.61,-47.36,78.51,87,9.69,100,1586396017,Southern Hemisphere
228,Svetlaya,RU,46.54,138.33,34.0,87,12.5,99,1586396018,Northern Hemisphere
229,Puerto Quijarro,BO,-17.78,-57.77,70.75,56,4.09,51,1586396020,Southern Hemisphere
230,Longyearbyen,SJ,78.22,15.64,-9.4,76,6.64,20,1586396024,Northern Hemisphere
231,Bilma,NE,18.69,12.92,75.96,16,18.86,100,1586396025,Northern Hemisphere
232,Mashhad,IR,36.3,59.61,30.2,100,9.17,75,1586396026,Northern Hemisphere
233,Yarmouth,US,41.71,-70.23,45.0,86,7.45,1,1586396027,Northern Hemisphere
234,Gouré,NE,13.98,10.27,87.01,14,5.99,23,1586396028,Northern Hemisphere
235,San Patricio,MX,19.22,-104.7,78.8,78,5.39,20,1586396029,Northern Hemisphere
236,Port Macquarie,AU,-31.43,152.92,72.0,77,2.24,100,1586396031,Southern Hemisphere
237,Maniitsoq,GL,65.42,-52.9,26.78,80,5.39,65,1586396033,Northern Hemisphere
238,Lüderitz,NA,-26.65,15.16,55.4,87,8.05,29,1586396034,Southern Hemisphere
239,Madera,US,37.17,-119.83,63.0,67,9.17,90,1586396035,Northern Hemisphere
240,Gweta,BW,-20.18,25.23,69.69,52,16.02,2,1586396036,Southern Hemisphere
241,Barberton,ZA,-25.79,31.05,63.0,100,2.24,91,1586396037,Southern Hemisphere
242,Trat,TH,12.5,102.5,84.0,84,3.94,95,1586396038,Northern Hemisphere
243,Igunga,TZ,-4.28,33.88,64.13,67,4.12,68,1586396040,Southern Hemisphere
244,Saldanha,ZA,-33.01,17.94,59.0,47,5.82,0,1586396041,Southern Hemisphere
245,São Filipe,CV,14.9,-24.5,77.2,62,9.33,0,1586396042,Northern Hemisphere
246,Tādepallegūdem,IN,16.83,81.5,87.57,65,6.15,38,1586396045,Northern Hemisphere
247,Keskin,TR,39.67,33.61,39.99,59,5.64,24,1586396046,Northern Hemisphere
248,Tromsø,NO,69.65,18.96,32.0,94,17.22,75,1586396048,Northern Hemisphere
249,Chingirlau,KZ,51.09,54.08,41.97,70,14.81,100,1586396049,Northern Hemisphere
250,Vila do Maio,CV,15.13,-23.22,77.0,50,12.75,0,1586396050,Northern Hemisphere
251,Road Town,VG,18.42,-64.62,80.6,78,8.05,1,1586396051,Northern Hemisphere
252,Tiarei,PF,-17.53,-149.33,89.6,59,11.41,87,1586396052,Southern Hemisphere
253,Kieta,PG,-6.22,155.63,84.34,74,5.26,79,1586396054,Southern Hemisphere
254,Ukiah,US,39.15,-123.21,72.0,52,12.75,1,1586396055,Northern Hemisphere
255,Puławy,PL,51.42,21.97,48.99,74,1.12,0,1586396056,Northern Hemisphere
256,Castro,BR,-24.79,-50.01,57.78,48,2.93,0,1586395785,Southern Hemisphere
257,Kandi,BJ,11.13,2.94,88.5,39,4.56,47,1586395774,Northern Hemisphere
258,Saint Petersburg,RU,59.89,30.26,42.8,70,11.18,100,1586396063,Northern Hemisphere
259,Kruisfontein,ZA,-34.0,24.73,57.63,71,15.55,100,1586396064,Southern Hemisphere
260,Tubualá,PA,9.52,-79.03,82.4,78,8.05,75,1586396065,Northern Hemisphere
261,Ndélé,CF,8.41,20.65,74.55,65,6.87,100,1586396066,Northern Hemisphere
262,Kilrush,IE,52.64,-9.48,46.4,87,1.12,40,1586396067,Northern Hemisphere
263,Arrondissement de Saint-Denis,FR,48.92,2.33,57.99,71,2.24,0,1586396068,Northern Hemisphere
264,San Jerónimo,PE,-11.95,-75.28,49.84,30,1.61,100,1586396069,Southern Hemisphere
265,Hazorasp,UZ,41.32,61.07,30.2,68,2.24,0,1586396070,Northern Hemisphere
266,San Ignacio,BZ,17.16,-89.07,79.0,82,7.0,8,1586396072,Northern Hemisphere
267,Mackay,AU,-21.15,149.2,82.4,65,13.87,40,1586395820,Southern Hemisphere
268,Beringovskiy,RU,63.05,179.32,19.94,89,1.81,61,1586396077,Northern Hemisphere
269,Jiuquan,CN,39.74,98.52,60.91,14,3.22,0,1586396079,Northern Hemisphere
270,Minudasht,IR,37.23,55.37,33.8,64,2.24,69,1586396080,Northern Hemisphere
271,Belaya Gora,RU,68.53,146.42,10.94,91,6.17,29,1586396081,Northern Hemisphere
272,Roald,NO,62.58,6.13,36.0,75,10.29,100,1586396082,Northern Hemisphere
273,Riberalta,BO,-10.98,-66.1,73.26,86,2.86,31,1586396084,Southern Hemisphere
274,Fortuna,US,40.6,-124.16,70.0,76,13.87,20,1586396086,Northern Hemisphere
275,Vila,PT,42.03,-8.16,61.0,87,3.36,40,1586396087,Northern Hemisphere
